Unnamed: 0,Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Name,0,1,2,3,4,5,6,7,8,9,10,11,12
0,FluencyBank,107,0,0,40480,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_0,-225.86113,96.71248,-28.075909,8.053306,-26.219736,-25.417522,-17.40147,-6.5857377,-12.048484,-12.049848,-9.203107,-15.072797,-11.013778
1,FluencyBank,107,1,824160,872160,0,0,0,0,0,0,0,0,3,2,0,0,FluencyBank_107_1,-239.48476,94.76818,-51.237064,16.00469,-15.753464,-16.63471,-20.7831,-15.68439,-4.0582767,-16.50097,-12.081025,-8.086676,-1.9357965
2,FluencyBank,107,2,846560,894560,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_2,-249.542,84.09275,-33.48595,25.008005,-17.564066,-21.171007,-23.085764,-15.330529,-9.428118,-17.795464,-11.655813,-10.981283,1.1646649
3,FluencyBank,107,3,939200,987200,0,0,1,0,0,0,0,3,2,1,0,0,FluencyBank_107_3,-253.29463,96.292915,-34.5014,17.924788,-27.34479,-12.629675,-17.1463,-21.877623,-6.3666563,-9.047877,-10.912177,-9.657367,-4.7377467
4,FluencyBank,107,4,962400,1010400,0,0,1,1,0,0,0,1,1,0,0,0,FluencyBank_107_4,-229.71138,97.17888,-47.998867,8.402232,-27.42528,-7.0982776,-15.916166,-22.230562,1.357188,-12.1787405,-8.236426,-6.5732203,-6.644348
5,FluencyBank,107,5,1014240,1062240,0,0,0,2,0,2,0,0,0,0,0,0,FluencyBank_107_5,-265.30655,101.779106,-36.11038,22.831028,-22.536505,-22.106827,-19.78946,-13.903672,-4.92349,-13.352441,-9.524211,-8.460215,-5.714538
6,FluencyBank,107,6,1037280,1085280,0,0,0,1,1,0,0,0,1,0,0,0,FluencyBank_107_6,-311.06775,82.708115,-10.298176,34.20608,-11.167551,-22.54694,-23.289663,-12.92282,-14.298516,-15.347955,-7.9393926,-8.132773,-3.9185376
7,FluencyBank,107,7,1059040,1107040,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_7,-268.1576,80.57003,-24.724329,28.872572,-11.271014,-26.013842,-27.396393,-14.042085,-9.989513,-20.844374,-7.231865,-12.681228,-0.35313717
8,FluencyBank,107,8,1150240,1198240,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_8,-260.76846,116.03539,-45.259995,5.595964,-17.244745,-16.015753,-31.477919,-18.48293,2.2057068,-13.949525,-9.809957,-6.0126033,-8.1012535
9,FluencyBank,107,9,1175040,1223040,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_9,-246.80154,107.75939,-44.452633,14.366377,-21.036144,-21.886597,-33.001842,-13.905834,2.3332753,-15.817614,-8.864678,-3.9135542,-7.5470605
10,FluencyBank,107,10,1528160,1576160,0,0,0,2,1,0,0,0,0,0,0,0,FluencyBank_107_10,-238.84926,91.61675,-26.01069,11.967882,-21.038887,-26.459867,-26.46564,-13.844299,-1.2281109,-13.68556,-7.6325903,-4.028798,-3.9799302
11,FluencyBank,107,11,1550720,1598720,0,0,1,2,0,0,0,0,0,0,0,0,FluencyBank_107_11,-278.88654,88.70402,-26.460106,21.65683,-13.804286,-28.506989,-21.220264,-10.845479,-1.245234,-12.854004,-9.108107,-3.44206,-0.88967043
12,FluencyBank,107,12,1579360,1627360,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_12,-251.23921,86.11685,-36.872375,16.010357,-16.751945,-20.790535,-21.615206,-12.6344,-0.60415584,-13.083378,-12.163895,-8.119952,-2.3809066
13,FluencyBank,107,13,1639840,1687840,0,0,1,0,0,0,0,0,2,1,0,0,FluencyBank_107_13,-251.1567,86.58768,-42.10808,23.436138,-12.348434,-19.830187,-18.905504,-14.599423,-3.1262233,-14.456295,-11.896508,-8.543821,-6.5033107
14,FluencyBank,107,14,1662400,1710400,0,0,0,2,0,0,0,1,1,0,0,0,FluencyBank_107_14,-264.87332,83.339935,-45.02135,22.659239,-18.686613,-15.964997,-12.826487,-6.761299,0.45858055,-15.182574,-12.31905,-6.7950373,-8.530559
15,FluencyBank,107,15,1697920,1745920,0,0,1,1,2,0,0,1,0,0,0,0,FluencyBank_107_15,-258.22552,97.35995,-37.548336,8.369224,-21.534172,-21.906458,-14.687513,-13.124277,0.36472094,-13.274891,-11.590968,-8.230841,-9.629404
16,FluencyBank,107,16,1824640,1872640,0,0,0,0,0,0,0,0,3,2,0,0,FluencyBank_107_16,-230.16115,93.42182,-40.098507,17.049046,-24.075369,-23.047272,-26.419008,-16.647062,0.90553397,-14.426675,-8.43572,-5.3965206,-2.3801568
17,FluencyBank,107,17,1846400,1894400,0,0,0,0,0,0,0,0,3,3,0,0,FluencyBank_107_17,-238.0162,87.364395,-31.797773,20.343084,-14.678449,-26.761644,-27.199282,-15.234351,-3.0536544,-15.891033,-7.273681,-7.790766,-4.86692
